id;model;include_size;include_training_data;training data size;dataset;causal/bidir;size;Avg. Performance;Ellipsis;Argument Structure;Determiner-Noun Agreement;Island Effects;Subject-Verb Agreement;Control/Raising;Anaphor Agreement;Irreg. Forms;Quantifiers;Binding;NPI Licensing;Filler-Gap
522;Pythia-160M 256M;0;1;256M;blimp;causal;<1B;51;;;;;;;;;;;;
522;Pythia-160M 1B;0;1;1B;blimp;causal;<1B;57;;;;;;;;;;;;
522;Pythia-160M 2B;0;1;2B;blimp;causal;<1B;62;;;;;;;;;;;;
522;Pythia-160M 3B;0;1;3B;blimp;causal;<1B;66;;;;;;;;;;;;
522;Pythia-160M 4B;0;1;4B;blimp;causal;<1B;69;;;;;;;;;;;;
522;Pythia-160M 5B;0;1;5B;blimp;causal;<1B;69;;;;;;;;;;;;
522;Pythia-160M 6B;0;1;6B;blimp;causal;<1B;70;;;;;;;;;;;;
522;Pythia-160M 7B;0;1;7B;blimp;causal;<1B;71;;;;;;;;;;;;
522;Pythia-160M 8B;0;1;8B;blimp;causal;<1B;71;;;;;;;;;;;;
522;Pythia-160M 9B;0;1;9B;blimp;causal;<1B;72;;;;;;;;;;;;
522;Pythia-160M 10B;1;1;10B;blimp;causal;<1B;73;;;;;;;;;;;;
522;Pythia-410M 1M;0;1;1M;blimp;causal;<1B;52;;;;;;;;;;;;
522;Pythia-410M 4M;0;1;4M;blimp;causal;<1B;53;;;;;;;;;;;;
522;Pythia-410M 16M;0;1;16M;blimp;causal;<1B;56;;;;;;;;;;;;
522;Pythia-410M 64M;0;1;64M;blimp;causal;<1B;55;;;;;;;;;;;;
522;Pythia-410M 256M;0;1;256M;blimp;causal;<1B;53;;;;;;;;;;;;
522;Pythia-410M 1B;0;1;1B;blimp;causal;<1B;59;;;;;;;;;;;;
522;Pythia-410M 2B;0;1;2B;blimp;causal;<1B;65;;;;;;;;;;;;
522;Pythia-410M 3B;0;1;3B;blimp;causal;<1B;68;;;;;;;;;;;;
522;Pythia-410M 4B;0;1;4B;blimp;causal;<1B;70;;;;;;;;;;;;
522;Pythia-410M 5B;0;1;5B;blimp;causal;<1B;71;;;;;;;;;;;;
522;Pythia-410M 6B;0;1;6B;blimp;causal;<1B;72;;;;;;;;;;;;
522;Pythia-410M 7B;0;1;7B;blimp;causal;<1B;73;;;;;;;;;;;;
522;Pythia-410M 8B;0;1;8B;blimp;causal;<1B;73;;;;;;;;;;;;
522;Pythia-410M 9B;0;1;9B;blimp;causal;<1B;74;;;;;;;;;;;;
522;Pythia-410M 10B;1;1;10B;blimp;causal;<1B;75;;;;;;;;;;;;
539;gpt2-small;0;0;~40GB;blimp;causal;<1B;;;;;;;;;;;;;
539;pythia;0;0;825GB;blimp;causal;1-7B;;;;;;;;;;;;;
586;Gpt2-medium;1;1;~40GB;blimp;causal;<1B;82.6;86.3;83.4;96.3;71.7;88.3;83;99.4;94.9;74.1;77.8;74.7;81.3
586;BERT base;1;1;~3.3B;blimp;bidir;<1B;84.2;89.4;80;97.6;73.6;92.4;79.6;97;96.5;71.2;82.3;84.7;83.1
